source_number,kota_asal,kota_tujuan,tarif_bisnis_sumber,tarif_ekonomi_sumber
1,JAKARTA,AMBON,13285000,7081000
2,JAKARTA,BALIKPAPAN,7412000,3797000
3,JAKARTA,BANDA ACEH,7519000,4807000
4,JAKARTA,BANDAR LAMPUNG,2407000,1583000
5,JAKARTA,BANJARMASIN,5252000,3205000
6,JAKARTA,BATAM,4867000,3091000
7,JAKARTA,BENGKULU,4364000,2770000
8,JAKARTA,BIAK,14065000,8046000
9,JAKARTA,DENPASAR,5305000,3262000
10,JAKARTA,GORONTALO,7231000,5162000
11,JAKARTA,JAMBI,4065000,2584000
12,JAKARTA,JAYAPURA,14568000,8767000
13,JAKARTA,YOGYAKARTA,4107000,2268000
14,JAKARTA,KENDARI,7658000,4265000
15,JAKARTA,KUPANG,9413000,5081000
16,JAKARTA,MAKASSAR,7444000,3829000
17,JAKARTA,MALANG,4599000,2695000
18,JAKARTA,MAMUJU,7295000,5208000
19,JAKARTA,MANADO,10824000,5460000
20,JAKARTA,MANOKWARI,16226000,10824000
21,JAKARTA,MATARAM,5316000,3230000
22,JAKARTA,MEDAN,7252000,4054000
23,JAKARTA,PADANG,5530000,3159000
24,JAKARTA,PALANGKARAYA,4984000,2984000
25,JAKARTA,PALEMBANG,3861000,2268000
26,JAKARTA,PALU,9348000,5113000
27,JAKARTA,PANGKAL PINANG,3412000,2139000
28,JAKARTA,PEKANBARU,5583000,3016000
29,JAKARTA,PONTIANAK,4353000,2781000
30,JAKARTA,SEMARANG,3861000,2182000
31,JAKARTA,SOLO,3861000,2342000
32,JAKARTA,SURABAYA,5466000,2674000
33,JAKARTA,TERNATE,10001000,6664000
34,JAKARTA,TIMIKA,13830000,7902000
35,JAKARTA,TANJUNG SELOR,7424000,4341000
36,AMBON,DENPASAR,8054000,4784000
37,AMBON,JAYAPURA,7434000,4453000
38,AMBON,KENDARI,4824000,3056000
39,AMBON,MAKASSAR,6022000,3697000
40,AMBON,MANOKWARI,5177000,3239000
41,AMBON,PALU,6140000,3754000
42,AMBON,SORONG,3637000,2415000
43,AMBON,SURABAYA,8803000,5185000
44,AMBON,TERNATE,4022000,2621000
45,BALIKPAPAN,BANDA ACEH,12739000,7222000
46,BALIKPAPAN,BATAM,10354000,5677000
47,BALIKPAPAN,DENPASAR,10739000,6044000
48,BALIKPAPAN,JAYAPURA,19071000,10793000
49,BALIKPAPAN,YOGYAKARTA,9669000,5082000
50,BALIKPAPAN,MAKASSAR,12664000,6581000
51,BALIKPAPAN,MANADO,15702000,7806000
52,BALIKPAPAN,MEDAN,12493000,6570000
53,BALIKPAPAN,PADANG,10942000,5745000
54,BALIKPAPAN,PALEMBANG,9445000,5082000
55,BALIKPAPAN,PEKANBARU,10996000,5803000
56,BALIKPAPAN,SEMARANG,9445000,5002000
57,BALIKPAPAN,SOLO,9445000,5150000
58,BALIKPAPAN,SURABAYA,10889000,5471000
59,BALIKPAPAN,TIMIKA,18408000,10107000
60,BANDA ACEH,DENPASAR,10835000,6719000
61,BANDA ACEH,JAYAPURA,19167000,11468000
62,BANDA ACEH,YOGYAKARTA,9765000,5757000
63,BANDA ACEH,MAKASSAR,12760000,7256000
64,BANDA ACEH,MANADO,15798000,8481000
65,BANDA ACEH,PONTIANAK,9990000,6249000
66,BANDA ACEH,SEMARANG,9530000,5677000
67,BANDA ACEH,SOLO,9530000,5826000
68,BANDA ACEH,SURABAYA,10985000,6147000
69,BANDA ACEH,TIMIKA,18504000,10782000
70,BANDAR LAMPUNG,BALIKPAPAN,8129000,4419000
71,BANDAR LAMPUNG,BANDA ACEH,8225000,5094000
72,BANDAR LAMPUNG,BANJARMASIN,6193000,3651000
73,BANDAR LAMPUNG,BATAM,5840000,3549000
74,BANDAR LAMPUNG,BIAK,14119000,8012000
75,BANDAR LAMPUNG,DENPASAR,6236000,3903000
76,BANDAR LAMPUNG,JAYAPURA,14568000,8664000
77,BANDAR LAMPUNG,YOGYAKARTA,5155000,2954000
78,BANDAR LAMPUNG,KENDARI,8354000,4796000
79,BANDAR LAMPUNG,MAKASSAR,8161000,4453000
80,BANDAR LAMPUNG,MALANG,5594000,3354000
81,BANDAR LAMPUNG,MANADO,11199000,5677000
82,BANDAR LAMPUNG,MATARAM,6246000,3880000
83,BANDAR LAMPUNG,MEDAN,7979000,4441000
84,BANDAR LAMPUNG,PADANG,6439000,3617000
85,BANDAR LAMPUNG,PALANGKARAYA,5947000,3640000
86,BANDAR LAMPUNG,PALEMBANG,4931000,2954000
87,BANDAR LAMPUNG,PEKANBARU,6482000,3674000
88,BANDAR LAMPUNG,PONTIANAK,5380000,3446000
89,BANDAR LAMPUNG,SEMARANG,4931000,2873000
90,BANDAR LAMPUNG,SOLO,4931000,3022000
91,BANDAR LAMPUNG,SURABAYA,6386000,3342000
92,BANDAR LAMPUNG,TIMIKA,13905000,7977000
93,BANDUNG,BATAM,6289000,3583000
95,BANDUNG,DENPASAR,5626000,3252000
96,BANDUNG,JAMBI,5006000,2941000
97,BANDUNG,YOGYAKARTA,3369000,2279000
98,BANDUNG,PADANG,6129000,3508000
99,BANDUNG,PALEMBANG,4385000,2631000
100,BANDUNG,PANGKAL PINANG,4599000,2738000
101,BANDUNG,PEKANBARU,6525000,3701000
102,BANDUNG,SEMARANG,3027000,1957000
103,BANDUNG,SOLO,3647000,2268000
104,BANDUNG,SURABAYA,4824000,3056000
105,BANDUNG,TANJUNG PANDAN,4439000,2850000
106,BANJARMASIN,BANDA ACEH,10792000,6022000
107,BANJARMASIN,BATAM,8407000,4578000
108,BANJARMASIN,BIAK,16686000,8749000
109,BANJARMASIN,DENPASAR,8792000,4920000
110,BANJARMASIN,JAYAPURA,17135000,9359000
111,BANJARMASIN,YOGYAKARTA,7723000,4304000
112,BANJARMASIN,MEDAN,10546000,5412000
113,BANJARMASIN,PADANG,9006000,4642000
114,BANJARMASIN,PALEMBANG,7498000,4022000
115,BANJARMASIN,PEKANBARU,9049000,4696000
116,BANJARMASIN,SEMARANG,7498000,3958000
117,BANJARMASIN,SOLO,7498000,4097000
118,BANJARMASIN,SURABAYA,8942000,4592000
119,BANJARMASIN,TIMIKA,16472000,8897000
120,BATAM,BANDA ACEH,10439000,5936000
121,BATAM,DENPASAR,8450000,4824000
122,BATAM,JAYAPURA,16782000,9263000
123,BATAM,YOGYAKARTA,7370000,3936000
124,BATAM,MAKASSAR,10375000,5711000
125,BATAM,MANADO,13413000,6482000
126,BATAM,MEDAN,10193000,5316000
127,BATAM,PADANG,8653000,4546000
128,BATAM,PALEMBANG,7145000,3936000
129,BATAM,PEKANBARU,8707000,4599000
130,BATAM,PONTIANAK,7594000,4396000
131,BATAM,SEMARANG,7145000,3861000
132,BATAM,SOLO,7145000,4000000
133,BATAM,SURABAYA,8600000,4300000
134,BATAM,TIMIKA,16119000,8621000
135,BENGKULU,PALEMBANG,2899000,2026000
136,BIAK,BALIKPAPAN,18622000,9477000
137,BIAK,BANDA ACEH,18718000,10108000
138,BIAK,BATAM,16333000,8664000
139,BIAK,DENPASAR,16729000,8995000
140,BIAK,JAYAPURA,3615000,2321000
141,BIAK,YOGYAKARTA,15648000,8108000
142,BIAK,MANADO,11734000,6353000
143,BIAK,MEDAN,18472000,9498000
144,BIAK,PADANG,16932000,8728000
145,BIAK,PALEMBANG,15424000,8108000
146,BIAK,PEKANBARU,16985000,8781000
147,BIAK,PONTIANAK,15873000,8568000
148,BIAK,SURABAYA,12782000,7081000
149,BIAK,TIMIKA,5808000,3444000
